Années,Population totale,Hommes,Femmes
1970,4395028,2109613,2285415
1971,4504904,2162354,2342550
1972,4617527,2216413,2401114
1973,4732965,2271823,2461142
1974,4851289,2328619,2522670
1975,4972571,2386834,2585737
1976,5096886,2446505,2650381
1977,5230307,2510547,2719760
1978,5367220,2576266,2790954
1979,5507718,2643705,2864013
1980,5651894,2712909,2938985
1981,5799843,2783925,3015918
1982,5951666,2856800,3094866
1983,6107463,2931582,3175881
1984,6267338,3008322,3259016
1985,6431398,3087071,3344327
1986,6599752,3167881,3431871
1987,6772514,3250807,3521707
1988,6912573,3387161,3525412
1989,7102858,3480400,3622458
1990,7298412,3576222,3722190
1991,7499095,3674557,3824538
1992,7703826,3774875,3928951
1993,7913090,3877414,4035676
1994,8127374,3982413,4144961
1995,8346996,4090028,4256968
1996,8572004,4200282,4371722
1997,8802304,4313129,4489175
1998,9037906,4428574,4609332
1999,9302162,4558059,4744103
2000,9582542,4695446,4887096
2001,9802775,4803360,4999415
2002,9956202,4878539,5077663
2003,10127809,4962626,5165183
2004,10564303,5176508,5387795
2005,10817844,5300744,5517100
